What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,The Mitochondria is the powerhouse of the cell.,True
Which gas do plants primarily take in during photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Plants normally take in Nitrogen during photosynthesis.,False
What is the square root of 64?,8,6,7,8 is the square root of 64,True
Which planet has the most moons?,Saturn,Jupiter,Mars,Mars is the planet with the most moons in our solar system.,False
What is the freezing point of water in Celsius?,0,100,-10,0 degrees Celcius is the freezing point of water.,True
Who is known as the father of modern physics?,Einstein,Newton,Tesla,Isaac Newton is known as the father of modern science.,False
What is the formula for force in physics?,F = ma,F = mv,F = m/v,The formula for force is F = m/v.,False
Which element has the atomic number 1?,Hydrogen,Helium,Carbon,Hydrogen is the element with the atomic number 1.,True
What is 10% of 500?,50,25,100,10% of 500 is 25,False
Which programming language is primarily used for Android app development?,Java,Python,C++,Android development primarily uses the programming language 'Java'.,True
What is the chemical symbol for gold?,Au,Ag,Pb,Gold has the chemical symbol Au.,True
What is the value of pi (Ï€) to two decimal places?,3.14,3.12,3.16,The value of pi to two decimal places is 3.16.,False
Which type of energy is stored in a stretched rubber band?,Elastic potential,Kinetic energy,Thermal energy,Elastic potential energy is stored in a stretched rubber band.,True
Which planet is closest to the Sun?,Mercury,Venus,Mars,Mars is the closest planet to the Sun.,False
What part of the human cell contains genetic material?,Nucleus,Mitochondria,Ribosome,The nucleus contains genetic material in a cell.,True
What is the derivative of x^2?,2x,x,x^3,The derivative of x^2 is x.,False
What is the main gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Nitrogen is the main gas in Earth's atmosphere.,True
Which wave has the highest frequency in the electromagnetic spectrum?,Gamma,X-rays,Ultraviolet,Ultraviolet waves have the highest frequency in the electromagnetic spectrum.,False
What is the SI unit of electrical resistance?,Ohm,Watt,Ampere,The SI unit of electrical resistance is the Ohm.,True
Which programming language is commonly used for web development?,JavaScript,C#,Swift,C# is commonly used for web development.,False
What is the hardest naturally occurring mineral?,Diamond,Quartz,Topaz,Diamond is the hardest naturally occurring mineral.,True
Which subatomic particle has a negative charge?,Electron,Proton,Neutron,Electrons have a negative charge.,True
What is the process by which plants make their own food?,Photosynthesis,Respiration,Fermentation,Photosynthesis is the process by which plants make their own food.,True
What is the boiling point of water in Celsius?,100,90,110,The boiling point of water in Celsius is 110 degrees.,False
What is the most abundant gas in the Sun?,Hydrogen,Helium,Oxygen,Helium is the most abundant gas in the Sun.,False
Which blood type is the universal donor?,O-,A+,AB+,O- is the universal donor blood type.,True
Which type of energy is derived from the Earth's internal heat?,Geothermal energy,Solar energy,Nuclear energy,Geothermal energy comes from the Earth's internal heat.,True
What does CPU stand for in computing?,Central Processing Unit,Core Processing Unit,Computer Power Unit,CPU stands for Core Processing Unit.,False
What type of bridge is the Golden Gate Bridge?,Suspension bridge,Arch bridge,Beam bridge,The Golden Gate Bridge is a suspension bridge.,True
Which metal is commonly used as a conductor in electrical wiring?,Copper,Iron,Aluminum,Iron is the most commonly used metal in electrical wiring.,False
What programming paradigm is Python primarily known for?,Object-oriented,Functional,Procedural,Python is primarily a functional programming language.,False
